ticker,company_name,sector,form,source_path,output_path,raw_characters,clean_characters,word_count,reduction_percentage,status,error
SLB,SLB LIMITED/NV,Energy,10-Q,data\raw\sec_filings\SLB\filings\10-Q\2026-07-29_0001193125-26-322595_slb-20260630.htm,data\processed\sec_text\SLB\10-Q\2026-07-29_0001193125-26-322595_slb-20260630.txt,4120397,68706,11944,98.33,success,
SLB,SLB LIMITED/NV,Energy,8-K,data\raw\sec_filings\SLB\filings\8-K\2026-07-24_0001193125-26-315068_d122193d8k.htm,data\processed\sec_text\SLB\8-K\2026-07-24_0001193125-26-315068_d122193d8k.txt,25819,3997,629,84.52,success,
SLB,SLB LIMITED/NV,Energy,10-K,data\raw\sec_filings\SLB\filings\10-K\2026-01-23_0001193125-26-021017_slb-20251231.htm,data\processed\sec_text\SLB\10-K\2026-01-23_0001193125-26-021017_slb-20251231.txt,7331565,229311,37111,96.87,success,
EOG,EOG RESOURCES INC,Energy,8-K,data\raw\sec_filings\EOG\filings\8-K\2026-07-09_0000821189-26-000140_eog-20260709.htm,data\processed\sec_text\EOG\8-K\2026-07-09_0000821189-26-000140_eog-20260709.txt,27392,5880,897,78.53,success,
EOG,EOG RESOURCES INC,Energy,10-Q,data\raw\sec_filings\EOG\filings\10-Q\2026-05-05_0000821189-26-000104_eog-20260331.htm,data\processed\sec_text\EOG\10-Q\2026-05-05_0000821189-26-000104_eog-20260331.txt,1108016,112647,18778,89.83,success,
EOG,EOG RESOURCES INC,Energy,10-K,data\raw\sec_filings\EOG\filings\10-K\2026-02-24_0000821189-26-000054_eog-20251231.htm,data\processed\sec_text\EOG\10-K\2026-02-24_0000821189-26-000054_eog-20251231.txt,3115412,435001,71089,86.04,success,
CAT,CATERPILLAR INC,Industrial,8-K,data\raw\sec_filings\CAT\filings\8-K\2026-06-11_0001104659-26-072929_tm2617177d1_8k.htm,data\processed\sec_text\CAT\8-K\2026-06-11_0001104659-26-072929_tm2617177d1_8k.txt,57763,5821,963,89.92,success,
CAT,CATERPILLAR INC,Industrial,10-Q,data\raw\sec_filings\CAT\filings\10-Q\2026-05-06_0000018230-26-000021_cat-20260331.htm,data\processed\sec_text\CAT\10-Q\2026-05-06_0000018230-26-000021_cat-20260331.txt,3459434,207964,37056,93.99,success,
CAT,CATERPILLAR INC,Industrial,10-K,data\raw\sec_filings\CAT\filings\10-K\2026-02-13_0000018230-26-000008_cat-20251231.htm,data\processed\sec_text\CAT\10-K\2026-02-13_0000018230-26-000008_cat-20251231.txt,6100469,459232,78585,92.47,success,
BA,BOEING CO,Industrial,10-Q,data\raw\sec_filings\BA\filings\10-Q\2026-07-28_0001628280-26-050038_ba-20260630.htm,data\processed\sec_text\BA\10-Q\2026-07-28_0001628280-26-050038_ba-20260630.txt,2065485,151880,26641,92.65,success,
BA,BOEING CO,Industrial,8-K,data\raw\sec_filings\BA\filings\8-K\2026-07-28_0001628280-26-049929_ba-20260728.htm,data\processed\sec_text\BA\8-K\2026-07-28_0001628280-26-049929_ba-20260728.txt,30975,3189,536,89.7,success,
BA,BOEING CO,Industrial,10-K,data\raw\sec_filings\BA\filings\10-K\2026-01-30_0001628280-26-004357_ba-20251231.htm,data\processed\sec_text\BA\10-K\2026-01-30_0001628280-26-004357_ba-20251231.txt,3439474,433903,69950,87.38,success,
GE,GENERAL ELECTRIC CO,Industrial,10-Q,data\raw\sec_filings\GE\filings\10-Q\2026-07-16_0000040545-26-000049_ge-20260630.htm,data\processed\sec_text\GE\10-Q\2026-07-16_0000040545-26-000049_ge-20260630.txt,1751176,148608,26843,91.51,success,
GE,GENERAL ELECTRIC CO,Industrial,8-K,data\raw\sec_filings\GE\filings\8-K\2026-07-16_0000040545-26-000047_ge-20260716.htm,data\processed\sec_text\GE\8-K\2026-07-16_0000040545-26-000047_ge-20260716.txt,38287,3754,606,90.2,success,
GE,GENERAL ELECTRIC CO,Industrial,10-K,data\raw\sec_filings\GE\filings\10-K\2026-01-29_0000040545-26-000008_ge-20251231.htm,data\processed\sec_text\GE\10-K\2026-01-29_0000040545-26-000008_ge-20251231.txt,3254149,414980,69041,87.25,success,
UPS,UNITED PARCEL SERVICE INC,Industrial,8-K,data\raw\sec_filings\UPS\filings\8-K\2026-07-28_0001628280-26-049912_ups-20260728.htm,data\processed\sec_text\UPS\8-K\2026-07-28_0001628280-26-049912_ups-20260728.txt,31445,3877,639,87.67,success,
UPS,UNITED PARCEL SERVICE INC,Industrial,10-Q,data\raw\sec_filings\UPS\filings\10-Q\2026-05-06_0001628280-26-031154_ups-20260331.htm,data\processed\sec_text\UPS\10-Q\2026-05-06_0001628280-26-031154_ups-20260331.txt,1664639,154370,25711,90.73,success,
UPS,UNITED PARCEL SERVICE INC,Industrial,10-K,data\raw\sec_filings\UPS\filings\10-K\2026-02-17_0001628280-26-008432_ups-20251231.htm,data\processed\sec_text\UPS\10-K\2026-02-17_0001628280-26-008432_ups-20251231.txt,4075933,454561,74880,88.85,success,
T,AT&T INC.,Telecommunications,8-K,data\raw\sec_filings\T\filings\8-K\2026-07-28_0001193125-26-321053_d142142d8k.htm,data\processed\sec_text\T\8-K\2026-07-28_0001193125-26-321053_d142142d8k.txt,77468,7687,1377,90.08,success,
T,AT&T INC.,Telecommunications,10-Q,data\raw\sec_filings\T\filings\10-Q\2026-07-22_0000732717-26-000297_t-20260630.htm,data\processed\sec_text\T\10-Q\2026-07-22_0000732717-26-000297_t-20260630.txt,2187166,127549,23268,94.17,success,
T,AT&T INC.,Telecommunications,10-K,data\raw\sec_filings\T\filings\10-K\2026-02-09_0000732717-26-000120_t-20251231.htm,data\processed\sec_text\T\10-K\2026-02-09_0000732717-26-000120_t-20251231.txt,3931782,376545,63239,90.42,success,
