ticker,company_name,sector,cik,form,filing_date,report_date,accession_number,source_url,local_path
CVX,CHEVRON CORP,Energy,0000093410,10-Q,2026-05-07,2026-03-31,0000093410-26-000113,https://www.sec.gov/Archives/edgar/data/93410/000009341026000113/cvx-20260331.htm,data\raw\sec_filings\CVX\filings\10-Q\2026-05-07_0000093410-26-000113_cvx-20260331.htm
CVX,CHEVRON CORP,Energy,0000093410,10-K,2026-02-24,2025-12-31,0000093410-26-000078,https://www.sec.gov/Archives/edgar/data/93410/000009341026000078/cvx-20251231.htm,data\raw\sec_filings\CVX\filings\10-K\2026-02-24_0000093410-26-000078_cvx-20251231.htm
COP,CONOCOPHILLIPS,Energy,0001163165,8-K,2026-06-23,2026-06-23,0001104659-26-076836,https://www.sec.gov/Archives/edgar/data/1163165/000110465926076836/tm2618585d1_8k.htm,data\raw\sec_filings\COP\filings\8-K\2026-06-23_0001104659-26-076836_tm2618585d1_8k.htm
COP,CONOCOPHILLIPS,Energy,0001163165,10-Q,2026-04-30,2026-03-31,0001163165-26-000018,https://www.sec.gov/Archives/edgar/data/1163165/000116316526000018/cop-20260331.htm,data\raw\sec_filings\COP\filings\10-Q\2026-04-30_0001163165-26-000018_cop-20260331.htm
COP,CONOCOPHILLIPS,Energy,0001163165,10-K,2026-02-17,2025-12-31,0001163165-26-000009,https://www.sec.gov/Archives/edgar/data/1163165/000116316526000009/cop-20251231.htm,data\raw\sec_filings\COP\filings\10-K\2026-02-17_0001163165-26-000009_cop-20251231.htm
SLB,SLB LIMITED/NV,Energy,0000087347,10-Q,2026-07-29,2026-06-30,0001193125-26-322595,https://www.sec.gov/Archives/edgar/data/87347/000119312526322595/slb-20260630.htm,data\raw\sec_filings\SLB\filings\10-Q\2026-07-29_0001193125-26-322595_slb-20260630.htm
SLB,SLB LIMITED/NV,Energy,0000087347,8-K,2026-07-24,2026-07-24,0001193125-26-315068,https://www.sec.gov/Archives/edgar/data/87347/000119312526315068/d122193d8k.htm,data\raw\sec_filings\SLB\filings\8-K\2026-07-24_0001193125-26-315068_d122193d8k.htm
SLB,SLB LIMITED/NV,Energy,0000087347,10-K,2026-01-23,2025-12-31,0001193125-26-021017,https://www.sec.gov/Archives/edgar/data/87347/000119312526021017/slb-20251231.htm,data\raw\sec_filings\SLB\filings\10-K\2026-01-23_0001193125-26-021017_slb-20251231.htm
EOG,EOG RESOURCES INC,Energy,0000821189,8-K,2026-07-09,2026-07-09,0000821189-26-000140,https://www.sec.gov/Archives/edgar/data/821189/000082118926000140/eog-20260709.htm,data\raw\sec_filings\EOG\filings\8-K\2026-07-09_0000821189-26-000140_eog-20260709.htm
EOG,EOG RESOURCES INC,Energy,0000821189,10-Q,2026-05-05,2026-03-31,0000821189-26-000104,https://www.sec.gov/Archives/edgar/data/821189/000082118926000104/eog-20260331.htm,data\raw\sec_filings\EOG\filings\10-Q\2026-05-05_0000821189-26-000104_eog-20260331.htm
EOG,EOG RESOURCES INC,Energy,0000821189,10-K,2026-02-24,2025-12-31,0000821189-26-000054,https://www.sec.gov/Archives/edgar/data/821189/000082118926000054/eog-20251231.htm,data\raw\sec_filings\EOG\filings\10-K\2026-02-24_0000821189-26-000054_eog-20251231.htm
CAT,CATERPILLAR INC,Industrial,0000018230,8-K,2026-06-11,2026-06-10,0001104659-26-072929,https://www.sec.gov/Archives/edgar/data/18230/000110465926072929/tm2617177d1_8k.htm,data\raw\sec_filings\CAT\filings\8-K\2026-06-11_0001104659-26-072929_tm2617177d1_8k.htm
CAT,CATERPILLAR INC,Industrial,0000018230,10-Q,2026-05-06,2026-03-31,0000018230-26-000021,https://www.sec.gov/Archives/edgar/data/18230/000001823026000021/cat-20260331.htm,data\raw\sec_filings\CAT\filings\10-Q\2026-05-06_0000018230-26-000021_cat-20260331.htm
CAT,CATERPILLAR INC,Industrial,0000018230,10-K,2026-02-13,2025-12-31,0000018230-26-000008,https://www.sec.gov/Archives/edgar/data/18230/000001823026000008/cat-20251231.htm,data\raw\sec_filings\CAT\filings\10-K\2026-02-13_0000018230-26-000008_cat-20251231.htm
BA,BOEING CO,Industrial,0000012927,10-Q,2026-07-28,2026-06-30,0001628280-26-050038,https://www.sec.gov/Archives/edgar/data/12927/000162828026050038/ba-20260630.htm,data\raw\sec_filings\BA\filings\10-Q\2026-07-28_0001628280-26-050038_ba-20260630.htm
BA,BOEING CO,Industrial,0000012927,8-K,2026-07-28,2026-07-28,0001628280-26-049929,https://www.sec.gov/Archives/edgar/data/12927/000162828026049929/ba-20260728.htm,data\raw\sec_filings\BA\filings\8-K\2026-07-28_0001628280-26-049929_ba-20260728.htm
BA,BOEING CO,Industrial,0000012927,10-K,2026-01-30,2025-12-31,0001628280-26-004357,https://www.sec.gov/Archives/edgar/data/12927/000162828026004357/ba-20251231.htm,data\raw\sec_filings\BA\filings\10-K\2026-01-30_0001628280-26-004357_ba-20251231.htm
GE,GENERAL ELECTRIC CO,Industrial,0000040545,10-Q,2026-07-16,2026-06-30,0000040545-26-000049,https://www.sec.gov/Archives/edgar/data/40545/000004054526000049/ge-20260630.htm,data\raw\sec_filings\GE\filings\10-Q\2026-07-16_0000040545-26-000049_ge-20260630.htm
GE,GENERAL ELECTRIC CO,Industrial,0000040545,8-K,2026-07-16,2026-07-16,0000040545-26-000047,https://www.sec.gov/Archives/edgar/data/40545/000004054526000047/ge-20260716.htm,data\raw\sec_filings\GE\filings\8-K\2026-07-16_0000040545-26-000047_ge-20260716.htm
GE,GENERAL ELECTRIC CO,Industrial,0000040545,10-K,2026-01-29,2025-12-31,0000040545-26-000008,https://www.sec.gov/Archives/edgar/data/40545/000004054526000008/ge-20251231.htm,data\raw\sec_filings\GE\filings\10-K\2026-01-29_0000040545-26-000008_ge-20251231.htm
UPS,UNITED PARCEL SERVICE INC,Industrial,0001090727,8-K,2026-07-28,2026-07-28,0001628280-26-049912,https://www.sec.gov/Archives/edgar/data/1090727/000162828026049912/ups-20260728.htm,data\raw\sec_filings\UPS\filings\8-K\2026-07-28_0001628280-26-049912_ups-20260728.htm
UPS,UNITED PARCEL SERVICE INC,Industrial,0001090727,10-Q,2026-05-06,2026-03-31,0001628280-26-031154,https://www.sec.gov/Archives/edgar/data/1090727/000162828026031154/ups-20260331.htm,data\raw\sec_filings\UPS\filings\10-Q\2026-05-06_0001628280-26-031154_ups-20260331.htm
UPS,UNITED PARCEL SERVICE INC,Industrial,0001090727,10-K,2026-02-17,2025-12-31,0001628280-26-008432,https://www.sec.gov/Archives/edgar/data/1090727/000162828026008432/ups-20251231.htm,data\raw\sec_filings\UPS\filings\10-K\2026-02-17_0001628280-26-008432_ups-20251231.htm
T,AT&T INC.,Telecommunications,0000732717,8-K,2026-07-28,2026-07-28,0001193125-26-321053,https://www.sec.gov/Archives/edgar/data/732717/000119312526321053/d142142d8k.htm,data\raw\sec_filings\T\filings\8-K\2026-07-28_0001193125-26-321053_d142142d8k.htm
T,AT&T INC.,Telecommunications,0000732717,10-Q,2026-07-22,2026-06-30,0000732717-26-000297,https://www.sec.gov/Archives/edgar/data/732717/000073271726000297/t-20260630.htm,data\raw\sec_filings\T\filings\10-Q\2026-07-22_0000732717-26-000297_t-20260630.htm
T,AT&T INC.,Telecommunications,0000732717,10-K,2026-02-09,2025-12-31,0000732717-26-000120,https://www.sec.gov/Archives/edgar/data/732717/000073271726000120/t-20251231.htm,data\raw\sec_filings\T\filings\10-K\2026-02-09_0000732717-26-000120_t-20251231.htm
